,title,subtitle,link
0,Democrats Keep Hoping It’s Curtains for Trump. He’s Still Center Stage.,"As Donald Trump faces a new threat to his political future, this time over the issue of ballot eligibility, Democrats again turn to institutions to stop him.",https://www.nytimes.com/2023/12/21/us/politics/democrats-trump-ballot.html
1,Key Hamas Plotters of Oct. 7 Elude Israel’s Grip on Gaza,"Israel has battered Gaza in its quest to destroy Hamas, without finding the commanders it has named as its most important targets.",https://www.nytimes.com/2023/12/21/world/middleeast/hamas-leaders-sinwar-israel-gaza.html
2,"In Jordan, a Sprawling Palestinian Diaspora Looks Toward Gaza",The story of 2.3 million Palestinian refugees in Jordan has been shaped by generations of war and exile.,https://www.nytimes.com/interactive/2023/12/20/magazine/jordan-palestinian-refugees.html
3,Our 25 Most Popular Holiday Recipes,"No-yeast cinnamon rolls, pernil and Yorkshire pudding are just a few of the dishes our readers love to make year after year.",https://cooking.nytimes.com/68861692-nyt-cooking/110999636-popular-holiday-recipes
4,Harvard Finds More Instances of ‘Duplicative Language’ in President’s Work,"After two published articles by Claudine Gay needed additional citations, the university said two issues were found with her 1997 doctoral dissertation.",https://www.nytimes.com/2023/12/20/us/harvard-claudine-gay-plagiarism.html
5,Can One of Opera’s Greatest Singers Get Her Voice Back?,"Anita Rachvelishvili, the once-blazing mezzo-soprano, has struggled with vocal problems since her pregnancy two years ago.",https://www.nytimes.com/2023/12/20/arts/music/anita-rachvelishvili-opera-voice.html
6,This Law Was Supposed to Prevent Violence. It Failed 385 Times.,"New York’s premier monitoring program for people with mental illness has broken down repeatedly, including in five cases involving subway shovings.",https://www.nytimes.com/2023/12/21/nyregion/nyc-kendras-law-homeless-violence.html
7,N.Y. Health Dept. Is Looking Into Bellevue’s Weight-Loss Surgery Program,The Health Department is looking into the public hospital’s use of unlicensed technicians during some bariatric surgeries after a Times report.,https://www.nytimes.com/2023/12/21/business/weight-loss-surgery-bellevue-hospital.html
8,Tolkien Estate Wins Court Order to Destroy Fan’s ‘Lord of the Rings’ Sequel,"Ruling that the fan’s unauthorized book violated copyright protections, a judge barred him from distributing it and ordered him to destroy all copies.",https://www.nytimes.com/2023/12/21/arts/lord-of-the-rings-sequel-lawsuit.html
9,What N.F.L. Travel Is Really Like,"Like any flight, first-class seats are coveted. But not every player is granted that privilege.",https://theathletic.com/5139122/2023/12/20/nfl-travel-ny-giants-behind-scenes/
10,Jordan Poole Was a Future Face of a Dynasty. Then Everything Changed.,Steve Kerr said Poole was part of Golden State’s “foundational six.” He returns to San Francisco under different circumstances.,https://theathletic.com/5149477/2023/12/21/jordan-poole-golden-state-warriors/
11,Jurgen Klopp Attacked His Own Fans at Liverpool. Why?,"The German’s criticisms of Anfield’s atmosphere were pointed, but he is not blameless",https://theathletic.com/5145466/2023/12/21/jurgen-klopp-liverpool-anfield-atmosphere/
12,This App Can Help You Manage Your To-Dos,Regain control over your routines — just in time for the new year.,https://www.nytimes.com/wirecutter/reviews/best-to-do-list-app/
13,The Best Small TV,"If you’re looking for a smaller TV that’s suitable for a kitchen, dorm room or bedroom — or if you just don’t want to spend much money — this is the one you should get.",https://www.nytimes.com/wirecutter/reviews/best-small-tv/
14,Are You a Bidet Believer?,"According to bidet devotees, everyone could use one. After our latest round of testing, we have some new favorites.",https://www.nytimes.com/wirecutter/reviews/best-bidet-toilet-seat-washlet/
15,Save Money With This Shampoo … Bar,It lasts as long as three standard bottles of shampoo.,https://www.nytimes.com/wirecutter/blog/ethique-shampoo-bar-review/
